SaleID,DateSold,Address,City,State,Zip,Beds,Baths,SqFt,LotAcres,YearBuilt,SalePrice,PropertyType,Latitude,Longitude,AgentName,ListingOffice,DaysOnMarket
HS0211,2023-10-19,893 Oak Ave,Columbus,OH,92074,3,2.5,3473,0.48,1900,483251,Single Family,39.884485,-82.953178,Jordan Lee,Urban Homes,167
HS0236,2021-02-05,929 Walnut Ct,Austin,TX,61773,1,1.4,3412,0.64,1927,701965,Single Family,30.27162,-97.669223,Casey Nguyen,Hearthstone Realty,115
HS0102,2020-12-11,8793 River Ln,Riverside,CA,55793,2,1.9,2453,0.76,1925,340424,Single Family,33.941753,-117.36139,Logan Brown,Urban Homes,195
HS0987,2022-10-13,7525 View Rd,Burlington,VT,81549,1,1.0,2787,0.51,1943,472334,Single Family,44.491235,-73.239636,Taylor Brooks,Hearthstone Realty,88
HS0903,2019-01-14,1475 Walnut Way,Albany,NY,15833,3,1.4,2017,1.29,1981,193111,Single Family,42.616107,-73.65748,Casey Nguyen,Hearthstone Realty,144
HS0948,2024-09-14,6395 Chestnut Ln,Albany,NY,13670,3,4.1,2030,1.82,1946,319085,Single Family,42.655066,-73.720078,Dana Kim,Lakeside Properties,123
HS0347,2022-07-16,7936 Meadow St,Phoenix,AZ,75860,3,2.7,897,0.21,1958,134945,Condo,33.412896,-112.103885,Alex Morgan,Prime Realty,173
HS0140,2023-05-02,6706 Lake St,Columbus,OH,62505,4,3.5,1222,1.66,1909,159438,Condo,40.030308,-82.966365,Dana Kim,Lakeside Properties,196
HS0622,2022-08-11,7811 View Ave,Riverside,CA,31945,4,4.2,3057,0.46,1922,389825,Single Family,33.854526,-117.358645,Morgan Patel,Summit Brokers,178
HS0500,2020-08-11,9008 Hill Terrace,Madison,WI,99780,2,1.6,875,2.06,2005,98699,Condo,43.141627,-89.36644,Alex Morgan,Urban Homes,133
HS0371,2024-04-02,8051 Ridge Rd,Springfield,IL,81137,2,1.2,3599,1.08,1993,299891,Single Family,39.85738,-89.680768,Casey Nguyen,Summit Brokers,142
HS0199,2022-07-07,3163 Lake Terrace,Seattle,WA,35830,3,3.3,3240,0.3,1981,843731,Single Family,47.579505,-122.402457,Logan Brown,Lakeside Properties,157
HS0688,2020-10-22,2022 Walnut Blvd,Burlington,VT,10697,3,2.3,3146,0.11,1926,479443,Single Family,44.53867,-73.164807,Jamie Rivera,Summit Brokers,66
HS0585,2022-03-07,5068 Spruce Way,Columbus,OH,13667,4,2.9,3645,4.5,1939,429065,Multi-Family,39.973614,-83.08008,Jordan Lee,Urban Homes,210
HS0902,2021-03-01,2872 Highland Terrace,Columbus,OH,77677,3,2.4,1404,0.35,1908,202072,Condo,39.935267,-82.95614,Dana Kim,Urban Homes,187
HS0060,2022-03-28,2541 Chestnut Blvd,Burlington,VT,19359,3,3.0,1327,1.2,2017,161948,Townhouse,44.58539,-73.252515,Sam Carter,Prime Realty,120
HS0329,2024-08-27,7529 View Ave,Columbus,OH,40122,0,0.5,2100,0.32,2010,198364,Single Family,39.950298,-83.13074,Riley Smith,Urban Homes,156
HS0097,2022-06-17,4575 Willow Ave,Phoenix,AZ,55242,2,2.1,670,14.06,1967,68453,Condo,33.537508,-112.044486,Alex Morgan,Urban Homes,102
HS0313,2022-11-09,2119 Oak St,Madison,WI,85067,1,1.4,3236,0.49,1995,364799,Single Family,43.116746,-89.432695,Jordan Lee,Lakeside Properties,166
HS0975,2024-10-16,6640 Willow Ln,Austin,TX,59873,3,2.8,3470,2.2,1974,556503,Single Family,30.27685,-97.69487,Jamie Rivera,Urban Homes,194
HS0300,2021-07-07,3442 Meadow St,Albany,NY,57013,5,2.3,2338,2.11,2010,235485,Townhouse,42.756304,-73.802169,Dana Kim,Lakeside Properties,61
HS0278,2019-07-19,3560 Maple Blvd,Madison,WI,26143,3,2.5,2140,0.2,1968,264685,Single Family,43.181647,-89.409994,Logan Brown,Prime Realty,170
HS0925,2019-05-30,4904 Lake Ct,Madison,WI,12296,2,1.5,1027,5.89,1945,142904,Condo,43.067146,-89.396513,Dana Kim,Lakeside Properties,64
HS0602,2019-01-30,5067 Birch Ln,Riverside,CA,74724,4,3.0,482,0.81,1926,62644,Condo,33.969276,-117.313519,Jordan Lee,Lakeside Properties,29
HS0440,2019-11-24,4511 Sunset Terrace,Seattle,WA,14385,4,3.6,1068,0.69,1961,204428,Single Family,47.684344,-122.3458,Taylor Brooks,Summit Brokers,193
HS0838,2023-01-02,7943 Cedar Ave,Phoenix,AZ,20011,2,0.9,1802,0.76,2004,224260,Condo,33.451494,-112.120378,Jordan Lee,Lakeside Properties,183
HS0571,2020-02-11,2836 Cedar Ln,Riverside,CA,57400,3,3.0,1352,0.65,1963,218265,Townhouse,33.995576,-117.338639,Taylor Brooks,Hearthstone Realty,86
HS0880,2019-04-06,2587 Cedar Ct,Seattle,WA,35465,2,2.2,3255,0.86,1995,672782,Single Family,47.559202,-122.308267,Casey Nguyen,Hearthstone Realty,118
HS0262,2021-04-02,1175 Spruce Ct,Madison,WI,27779,4,1.7,3192,0.54,2006,496783,Single Family,43.023135,-89.426439,Alex Morgan,Urban Homes,9
HS0579,2025-07-10,882 Cedar Way,Riverside,CA,49054,3,1.6,761,5.73,2003,127678,Mobile Home,33.978811,-117.42044,Logan Brown,Summit Brokers,153
HS0024,2021-04-13,2300 Chestnut Ave,Riverside,CA,24029,3,2.6,3361,3.7,1943,419300,Single Family,33.966294,-117.357109,Casey Nguyen,Summit Brokers,126
HS0031,2024-09-25,9612 Chestnut St,Madison,WI,24208,5,3.4,4134,2.1,2025,683683,Single Family,43.050477,-89.362348,Jamie Rivera,Lakeside Properties,148
HS0618,2019-03-30,3341 Spruce Blvd,Burlington,VT,38697,3,2.5,1881,2.16,1925,197116,Single Family,44.445489,-73.193944,Taylor Brooks,Hearthstone Realty,26
HS0011,2023-01-26,2604 Lake Blvd,Burlington,VT,80697,3,3.0,3191,1.35,1914,350503,Single Family,44.524548,-73.17232,Casey Nguyen,Urban Homes,15
HS0222,2024-10-19,5167 Walnut Ave,Springfield,IL,11660,2,1.8,995,0.78,1966,120811,Mobile Home,39.804494,-89.54185,Casey Nguyen,Urban Homes,96
HS0821,2023-05-19,7609 Chestnut St,Austin,TX,30750,1,1.3,1900,2.26,1967,301204,Multi-Family,30.190848,-97.768273,Dana Kim,Prime Realty,45
HS0297,2024-08-25,3391 Willow Rd,Burlington,VT,99995,2,1.9,1283,1.26,1922,187808,Mobile Home,44.398917,-73.286414,Dana Kim,Hearthstone Realty,182
HS0055,2022-10-27,9166 Spruce Blvd,Springfield,IL,93606,3,2.2,3430,1.23,1956,402954,Single Family,39.839418,-89.673969,Taylor Brooks,Prime Realty,65
HS0543,2023-09-30,1504 Maple Way,Austin,TX,27459,2,2.1,1708,1.66,1990,283850,Condo,30.197508,-97.771406,Logan Brown,Hearthstone Realty,19
HS0210,2020-06-18,6616 Willow Ct,Seattle,WA,37767,5,3.6,3638,0.71,1973,659036,Single Family,47.57553,-122.347223,Logan Brown,Lakeside Properties,202
HS0605,2019-06-28,5392 Sunset Ct,Springfield,IL,45918,1,1.4,1315,0.19,1997,157338,Single Family,39.774544,-89.610748,Jordan Lee,Prime Realty,72
HS0693,2019-11-14,3256 Lake Blvd,Albany,NY,65009,2,2.1,505,0.53,1931,46660,Mobile Home,42.657387,-73.785866,Casey Nguyen,Prime Realty,137
HS0663,2023-06-19,6843 Pine Ave,Albany,NY,93385,2,0.5,4013,1.81,1926,522773,Single Family,42.705451,-73.74626,Casey Nguyen,Prime Realty,44
HS0867,2019-11-01,1523 Elm Rd,Albany,NY,97649,3,2.9,1761,0.2,1928,214292,Townhouse,42.627094,-73.719724,Morgan Patel,Urban Homes,130
HS0071,2019-11-25,2461 Sunset Blvd,Springfield,IL,19807,3,2.4,1172,0.93,1983,98653,Condo,39.726637,-89.625716,Morgan Patel,Summit Brokers,98
HS0544,2019-07-06,9225 Oak St,Riverside,CA,53628,1,1.8,1217,0.59,1976,181231,Mobile Home,33.994075,-117.398604,Alex Morgan,Hearthstone Realty,130
HS0108,2020-06-12,2563 Hill Ave,Portland,OR,86380,2,2.4,1233,0.32,1950,165893,Condo,45.478874,-122.650531,Logan Brown,Prime Realty,80
HS0494,2023-03-20,1510 Elm Ln,Portland,OR,49745,4,2.4,2610,0.47,1975,384488,Multi-Family,45.553866,-122.649219,Jamie Rivera,Prime Realty,105
HS0591,2021-01-18,494 River Terrace,Phoenix,AZ,60070,2,2.9,2390,1.07,1918,405190,Single Family,33.416438,-112.118544,Casey Nguyen,Prime Realty,40
HS0742,2020-05-27,9472 River Rd,Albany,NY,39794,1,1.2,2896,1.34,2025,334647,Single Family,42.619329,-73.720105,Jordan Lee,Lakeside Properties,159
HS0293,2022-10-16,1852 Chestnut Ln,Phoenix,AZ,34581,2,1.4,1465,0.65,1924,219199,Townhouse,33.377767,-112.013334,Jamie Rivera,Lakeside Properties,12
HS0290,2022-06-01,2044 Forest St,Columbus,OH,23453,3,3.1,2876,1.53,1911,328610,Single Family,39.901518,-82.952842,Dana Kim,Summit Brokers,53
HS0653,2019-10-14,3744 View Ct,Burlington,VT,78350,3,2.4,2359,2.55,1962,322852,Single Family,44.520562,-73.224872,Jordan Lee,Prime Realty,163
HS0040,2019-09-13,2571 Birch Ct,Madison,WI,30028,2,1.5,1527,0.89,1953,252429,Single Family,43.098349,-89.357912,Jordan Lee,Lakeside Properties,100
HS0590,2019-04-06,4118 Highland Way,Burlington,VT,21094,3,2.6,2718,3.68,2010,470300,Single Family,44.505208,-73.232721,Morgan Patel,Lakeside Properties,47
HS0308,2020-03-01,2842 Meadow St,Riverside,CA,92173,3,2.0,4235,1.5,1954,567533,Multi-Family,33.921964,-117.35308,Jordan Lee,Summit Brokers,180
HS0680,2024-04-23,961 Walnut Way,Burlington,VT,61355,3,2.1,2255,8.15,1954,233164,Single Family,44.442276,-73.200936,Morgan Patel,Lakeside Properties,101
HS0067,2024-09-12,8265 Spruce Rd,Madison,WI,64459,3,2.6,3089,3.17,1924,491518,Single Family,43.022081,-89.414655,Taylor Brooks,Prime Realty,71
HS0276,2019-07-07,4176 Birch Terrace,Springfield,IL,50906,4,3.1,1509,2.72,1908,153303,Single Family,39.748996,-89.741632,Casey Nguyen,Hearthstone Realty,117
HS0068,2024-06-28,5668 River Rd,Phoenix,AZ,10336,1,1.9,1406,3.93,1984,164361,Condo,33.501321,-112.161937,Taylor Brooks,Lakeside Properties,138
HS0319,2024-04-17,611 Highland Ct,Seattle,WA,87337,0,0.6,1700,1.02,1969,399574,Single Family,47.563278,-122.275821,Taylor Brooks,Hearthstone Realty,101
HS0549,2020-11-20,8049 Ridge Way,Seattle,WA,24744,5,3.7,1596,0.44,1923,269600,Multi-Family,47.674605,-122.390537,Dana Kim,Hearthstone Realty,145
HS0999,2025-04-15,8055 Birch Way,Riverside,CA,39017,1,1.3,1565,0.26,1962,266433,Townhouse,33.889955,-117.374267,Logan Brown,Summit Brokers,97
HS0715,2020-06-17,3128 Chestnut Way,Phoenix,AZ,57655,2,2.0,2306,1.11,1970,261478,Single Family,33.431466,-112.082607,Morgan Patel,Hearthstone Realty,190
HS0754,2020-01-18,1825 Spruce Ct,Madison,WI,30736,5,4.0,1840,0.31,1985,191695,Multi-Family,43.102493,-89.370213,Morgan Patel,Lakeside Properties,120
HS0328,2024-09-23,7823 Forest Blvd,Portland,OR,38752,2,1.7,1066,0.85,1923,184508,Townhouse,45.542141,-122.700661,Casey Nguyen,Urban Homes,186
HS0383,2024-06-22,1605 Highland Ct,Albany,NY,84588,3,2.4,1288,0.54,1922,168955,Townhouse,42.56671,-73.741957,Logan Brown,Prime Realty,153
HS0452,2022-08-17,4250 Spruce Way,Madison,WI,96570,2,1.8,2139,0.32,1988,265729,Townhouse,43.046333,-89.383277,Casey Nguyen,Urban Homes,200
HS0523,2020-01-12,8879 Willow Rd,Riverside,CA,44754,1,1.4,807,2.61,2022,127382,Condo,34.052942,-117.435165,Logan Brown,Prime Realty,152
HS0219,2019-09-05,6086 Meadow Blvd,Phoenix,AZ,71736,2,2.1,1344,5.6,1905,139709,Single Family,33.460248,-112.096741,Riley Smith,Summit Brokers,74
HS0788,2023-04-04,4354 Oak Ave,Springfield,IL,16291,3,3.5,554,1.47,2003,60575,Condo,39.773181,-89.690741,Casey Nguyen,Urban Homes,36
HS0437,2022-03-27,9031 Willow Blvd,Phoenix,AZ,72242,2,1.5,2105,0.98,1919,260953,Townhouse,33.389107,-112.190098,Taylor Brooks,Urban Homes,3
HS0765,2025-02-09,1725 Pine Ave,Portland,OR,21749,4,2.6,2141,1.29,1979,319011,Townhouse,45.454449,-122.759361,Jamie Rivera,Lakeside Properties,129
HS0089,2024-12-13,2530 Pine Blvd,Portland,OR,46046,3,2.4,4038,1.12,1976,580148,Single Family,45.489176,-122.690953,Casey Nguyen,Lakeside Properties,130
HS0064,2019-01-05,701 Ridge Ave,Seattle,WA,51224,2,1.9,4433,3.45,2005,820532,Multi-Family,47.606462,-122.329751,Dana Kim,Lakeside Properties,106
HS0827,2023-07-30,1509 Highland St,Burlington,VT,92459,3,3.2,4371,0.59,1946,629352,Multi-Family,44.441553,-73.142467,Logan Brown,Summit Brokers,19
HS0717,2021-04-07,3260 Ridge Ave,Burlington,VT,19814,3,2.0,3120,1.73,1997,464817,Single Family,44.46605,-73.242639,Dana Kim,Urban Homes,12
HS0352,2021-03-25,4356 Lake Terrace,Columbus,OH,83446,2,2.3,3128,1.5,1944,410851,Single Family,39.995211,-82.939175,Logan Brown,Summit Brokers,167
HS0937,2020-12-28,1830 Hill Ct,Columbus,OH,39504,2,2.3,3084,2.12,2011,289950,Single Family,40.008136,-83.059957,Riley Smith,Hearthstone Realty,1
HS0257,2023-09-15,9215 Park Terrace,Phoenix,AZ,46202,4,2.8,1204,1.62,1966,134171,Condo,33.421075,-112.099786,Jamie Rivera,Lakeside Properties,39
HS0636,2024-02-23,5175 Sunset Way,Burlington,VT,30811,5,3.3,3140,0.74,1987,499074,Single Family,44.559834,-73.307682,Casey Nguyen,Urban Homes,2
HS0645,2020-01-31,1597 Maple Ct,Burlington,VT,13662,1,1.6,976,0.96,2022,135417,Single Family,44.488711,-73.187928,Taylor Brooks,Urban Homes,12
HS0555,2022-10-31,7031 Pine Ct,Portland,OR,58265,2,1.5,3756,0.94,1965,662294,Single Family,45.534071,-122.800542,Sam Carter,Urban Homes,166
HS0960,2021-07-25,2687 View Blvd,Madison,WI,52687,3,3.6,2012,1.04,1934,240151,Townhouse,43.127595,-89.429759,Casey Nguyen,Lakeside Properties,78
HS0169,2019-11-20,7686 Oak Ct,Madison,WI,64592,1,2.0,3308,3.4,1942,518629,Single Family,43.091233,-89.336263,Sam Carter,Hearthstone Realty,24
HS0918,2019-11-13,3018 Birch Terrace,Portland,OR,57484,2,1.7,775,0.55,2017,161769,Townhouse,45.472243,-122.709886,Jordan Lee,Urban Homes,128
HS0529,2023-07-26,9122 Walnut St,Albany,NY,73680,4,3.0,1081,0.44,1908,159858,Single Family,42.617264,-73.711268,Morgan Patel,Prime Realty,102
HS0824,2020-12-13,3896 Cedar Ave,Madison,WI,75461,4,2.2,1473,2.06,1913,197360,Townhouse,43.013114,-89.366254,Riley Smith,Lakeside Properties,17
HS0986,2021-02-08,2442 Oak Ln,Springfield,IL,31218,2,2.3,2807,1.55,1944,252510,Single Family,39.735243,-89.706801,Logan Brown,Lakeside Properties,116
HS0817,2023-12-04,1011 Cedar Rd,Phoenix,AZ,63026,1,1.3,3072,0.08,1978,499716,Single Family,33.470587,-112.097664,Logan Brown,Prime Realty,111
HS0087,2021-06-26,8719 Cedar Ave,Phoenix,AZ,72422,2,2.7,2977,2.16,1964,406215,Single Family,33.359888,-112.125631,Logan Brown,Prime Realty,187
HS0433,2019-09-09,2986 Spruce Ct,Austin,TX,19123,2,1.0,3917,0.63,1982,655260,Single Family,30.216453,-97.781159,Jamie Rivera,Urban Homes,210
HS0185,2020-02-28,5996 Chestnut Ave,Austin,TX,27367,2,2.9,662,2.17,1952,116568,Condo,30.260487,-97.751061,Alex Morgan,Prime Realty,91
HS0979,2024-10-25,738 Oak Ln,Austin,TX,96632,4,3.3,2068,4.08,1922,332660,Single Family,30.268563,-97.795911,Taylor Brooks,Urban Homes,94
HS0535,2020-02-16,4589 Pine Way,Springfield,IL,71746,2,2.7,3823,6.93,2004,306727,Multi-Family,39.85172,-89.622389,Taylor Brooks,Hearthstone Realty,130
HS0295,2023-09-11,8428 Walnut Blvd,Austin,TX,26827,5,4.6,1199,0.63,1949,219833,Single Family,30.267475,-97.766885,Logan Brown,Urban Homes,71
HS0893,2025-06-15,4687 Walnut Rd,Burlington,VT,83880,4,2.9,2022,0.97,1942,210859,Townhouse,44.37493,-73.184658,Logan Brown,Summit Brokers,71
HS0426,2019-07-26,2906 Pine Rd,Burlington,VT,90381,2,2.9,2710,2.35,2015,437644,Single Family,44.478076,-73.184193,Jamie Rivera,Lakeside Properties,14
HS0714,2024-04-17,4146 Hill St,Phoenix,AZ,33822,4,2.6,1022,0.74,1936,166060,Single Family,33.410932,-112.085077,Casey Nguyen,Summit Brokers,26
HS0261,2024-10-16,5357 Chestnut Ct,Austin,TX,89295,2,2.2,1923,1.36,1997,396123,Townhouse,30.252017,-97.840864,Morgan Patel,Prime Realty,132
HS0238,2024-08-19,8714 Birch St,Burlington,VT,60134,3,1.9,2617,6.39,1972,419231,Single Family,44.464576,-73.260072,Morgan Patel,Lakeside Properties,70
HS0560,2024-06-16,6570 Cedar St,Springfield,IL,32509,4,4.4,1196,0.23,1977,138633,Mobile Home,39.733031,-89.599743,Casey Nguyen,Summit Brokers,209
HS0584,2020-09-19,9259 Lake Ave,Madison,WI,88852,1,2.3,2538,0.64,1966,324816,Single Family,43.078272,-89.299096,Jamie Rivera,Hearthstone Realty,79
HS0446,2020-04-20,6377 Birch Way,Phoenix,AZ,93568,2,2.3,1822,3.42,1933,204601,Single Family,33.344049,-112.103231,Alex Morgan,Urban Homes,119
HS0868,2025-04-05,4623 Ridge Ave,Columbus,OH,51262,2,3.2,1229,1.6,2007,137627,Single Family,39.912562,-82.978469,Alex Morgan,Prime Realty,63
HS0801,2022-06-01,840 Maple Rd,Riverside,CA,39922,5,3.3,1068,0.39,1912,131540,Townhouse,33.920784,-117.365681,Morgan Patel,Lakeside Properties,126
HS0600,2023-12-29,2943 Sunset Way,Springfield,IL,61483,2,2.8,2929,0.33,2004,341365,Multi-Family,39.763425,-89.657665,Jamie Rivera,Hearthstone Realty,209
HS0850,2022-08-27,9939 Birch Terrace,Springfield,IL,24308,4,2.5,1146,0.17,1926,101186,Single Family,39.787053,-89.667357,Logan Brown,Hearthstone Realty,175
HS0266,2023-03-23,9949 Maple Ln,Madison,WI,43081,4,3.5,1493,0.26,1954,198436,Condo,43.023083,-89.435087,Morgan Patel,Lakeside Properties,65
HS0996,2023-04-12,8967 View Way,Riverside,CA,30142,2,2.5,5660,3.08,1905,709745,Multi-Family,34.022813,-117.306833,Casey Nguyen,Prime Realty,161
HS0530,2020-05-15,3967 Cedar Ave,Madison,WI,78414,5,3.8,2414,0.08,1930,394417,Multi-Family,43.061976,-89.298857,Morgan Patel,Hearthstone Realty,150
HS0056,2025-04-24,1969 Pine Ct,Austin,TX,74454,5,3.1,1396,0.81,2003,266199,Single Family,30.310083,-97.751097,Casey Nguyen,Prime Realty,64
HS0121,2024-10-12,1133 Ridge St,Madison,WI,48462,4,2.3,1873,2.53,1939,228487,Single Family,43.007133,-89.412512,Riley Smith,Summit Brokers,122
HS0216,2021-10-11,3659 Pine Ave,Austin,TX,28351,2,1.9,1404,5.54,1917,244525,Single Family,30.340759,-97.753566,Casey Nguyen,Prime Realty,64
HS0026,2023-10-27,9289 Maple Ave,Phoenix,AZ,19862,1,1.7,901,0.49,1918,101774,Condo,33.541689,-112.050308,Taylor Brooks,Prime Realty,79
HS0073,2021-09-27,7369 Walnut Rd,Riverside,CA,13794,2,1.1,1083,0.83,1918,157544,Single Family,33.948203,-117.394093,Dana Kim,Lakeside Properties,145
HS0045,2019-03-25,953 Lake Ln,Seattle,WA,95215,3,2.7,3925,2.48,1925,634788,Multi-Family,47.596077,-122.329055,Logan Brown,Urban Homes,62
HS0248,2020-03-04,9570 Birch Blvd,Austin,TX,69151,3,2.8,1313,0.96,2021,222724,Single Family,30.23047,-97.783613,Jamie Rivera,Hearthstone Realty,44
HS0722,2019-07-31,847 Meadow Ln,Burlington,VT,48252,2,1.5,5663,2.16,1934,822751,Multi-Family,44.442541,-73.248748,Jordan Lee,Urban Homes,137
HS0282,2021-11-14,1558 Cedar Way,Springfield,IL,29548,3,1.4,1587,1.12,2015,158173,Condo,39.79236,-89.687698,Jordan Lee,Lakeside Properties,76
HS0894,2024-05-01,7856 Willow Blvd,Portland,OR,10350,2,2.6,2061,1.35,1921,340944,Single Family,45.509451,-122.726807,Alex Morgan,Hearthstone Realty,20
HS0915,2025-03-24,5036 Spruce Ave,Madison,WI,34195,2,1.0,1626,0.7,1919,212905,Condo,42.97966,-89.380426,Morgan Patel,Prime Realty,123
HS0811,2023-01-04,7655 Meadow Blvd,Portland,OR,59278,4,2.5,644,0.25,1964,133519,Condo,45.517821,-122.706088,Sam Carter,Hearthstone Realty,110
HS0245,2024-07-25,6515 Highland St,Portland,OR,33865,1,1.2,721,0.99,2019,151152,Condo,45.510182,-122.731551,Taylor Brooks,Hearthstone Realty,191
HS0823,2019-10-04,9537 River Rd,Madison,WI,26963,4,2.5,1264,3.22,1951,135175,Condo,43.054961,-89.444639,Alex Morgan,Prime Realty,188
HS0322,2024-02-06,3896 Pine Rd,Austin,TX,58422,2,2.9,1582,2.52,2017,239244,Single Family,30.31547,-97.681293,Alex Morgan,Prime Realty,167
HS0644,2021-04-06,8666 Cedar Ct,Springfield,IL,50412,2,1.6,2235,5.24,1998,172594,Townhouse,39.835218,-89.586505,Jordan Lee,Hearthstone Realty,62
HS0159,2024-09-01,9861 Pine Way,Burlington,VT,79228,2,2.2,2348,8.87,2015,251168,Townhouse,44.424321,-73.238565,Jordan Lee,Summit Brokers,138
HS0978,2020-06-08,7822 Maple Rd,Phoenix,AZ,94850,1,1.4,2466,0.39,1901,381324,Single Family,33.418155,-112.049111,Dana Kim,Urban Homes,36
HS0430,2022-05-22,4724 Lake Blvd,Madison,WI,76577,3,3.0,1142,0.53,2001,112100,Condo,43.085758,-89.360183,Dana Kim,Lakeside Properties,103
HS0942,2024-04-09,5527 Walnut Ln,Portland,OR,70583,3,4.0,1162,0.76,1966,251996,Single Family,45.489212,-122.669171,Riley Smith,Prime Realty,201
HS0463,2020-12-11,6686 Hill Ave,Columbus,OH,99664,3,3.0,1208,0.2,1975,117240,Townhouse,39.967342,-83.049233,Morgan Patel,Prime Realty,31
HS0310,2019-01-25,6778 Park Way,Albany,NY,92603,2,2.5,1049,2.13,1968,150638,Condo,42.670172,-73.702692,Logan Brown,Prime Realty,194
HS0698,2024-11-02,6952 Ridge Blvd,Burlington,VT,67535,2,1.2,2896,2.87,1954,299234,Single Family,44.416174,-73.19781,Jordan Lee,Hearthstone Realty,163
HS0061,2021-10-22,6694 Chestnut Way,Albany,NY,67377,2,1.9,972,0.26,1977,127450,Townhouse,42.556965,-73.738076,Alex Morgan,Prime Realty,59
HS0885,2024-08-09,9362 View Ct,Columbus,OH,10730,4,2.0,1257,0.74,1969,147948,Townhouse,39.94747,-82.955141,Morgan Patel,Urban Homes,83
